DESCRIPTION,DATE_OF_VAC_ORDER,BLDG_TX_BORO,AKA_ADDRESS,BLDG_COMMUNITY_DIST,COUNCIL_DISTRICT,BIN,BBL,LST_COMPL_INSP_DATE,STATUS_CHANGE_DATE,OCPCY_DESC,lat,lon,Year Built,Building Age Category,Count
Dismissal,02/28/2000,BX,"1128 ST LAWRENCE AVENUE, BX ;1128 SAINT LAWRENCE AVENUE, BX",209.0,18.0,2024253,2037530019,01/23/2012,04/13/2012,Residential,40.8284962,-73.8662421,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,03/13/2000,BX,"2039 WESTCHESTER AVENUE, BX",209.0,18.0,2028930,2039320022,02/22/2012,03/21/2012,Residential,40.8339819,-73.8563295,2022.0,Post 2000,1
Dismissal,03/26/2000,BX,"669 JEFFERSON PLACE, BX",203.0,16.0,2009791,2029350063,08/07/2013,09/30/2013,Residential,40.833154,-73.8986474,1899.0,Pre 1900,1
Dismissal,04/04/2000,BK,"1532 ST JOHN'S PLACE, BK ;1532 ST JOHNS PLACE, BK ;1532 SAINT JOHNS PLACE, BK",308.0,36.0,3037160,3013860015,03/01/2012,03/30/2012,Residential,40.6701846,-73.9276473,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,04/08/2000,BK,"1532 ST JOHN'S PLACE, BK ;1532 ST JOHNS PLACE, BK ;1532 SAINT JOHNS PLACE, BK",308.0,36.0,3037160,3013860015,03/01/2012,03/30/2012,Residential,40.6701846,-73.9276473,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,04/30/2000,BK,"27-37 YORK STREET, BK ;60-82 WASHINGTON STREET, BK ;68-76 FRONT STREET, BK ;60-90 WASHINGTON STREET, BK",302.0,33.0,3388734,3000451001,03/23/2012,03/28/2012,Residential,,,,Unknown,1
Dismissal,05/10/2000,BX,"669 JEFFERSON PLACE, BX",203.0,16.0,2009791,2029350063,08/07/2013,09/30/2013,Residential,40.833154,-73.8986474,1899.0,Pre 1900,1
Dismissal,07/17/2000,BK,"181 LEXINGTON AVE, BK ;181 LEXINGTON AVENUE, BK",303.0,36.0,3056359,3019680039,12/26/2011,06/04/2003,Storage,40.6873671,-73.9551659,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,12/23/2000,BX,"273-275 EAST 139 STREET, BX",201.0,8.0,2091104,2023140047,02/23/2012,03/21/2012,Mercantile,40.8114312,-73.9260126,1931.0,1920 to 1939 (Pre-war late),1
Dismissal,05/06/2001,BX,"2535A 3 AVENUE, BX ;2535 3 AVENUE, BX",201.0,8.0,2000803,2023200077,05/04/2012,05/07/2012,Mercantile,40.8110316,-73.9277542,1931.0,1920 to 1939 (Pre-war late),1
Dismissal,06/21/2001,BX,"446 EAST 142 STREET, BX",201.0,8.0,2000388,2022860033,03/19/2012,03/21/2012,Residential,40.8108231,-73.9196734,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,06/29/2001,BX,"1584-1588 UNIVERSITY AVENUE, BX ;1584-1588 DR M L KING JR BOULEVARD, BX",205.0,14.0,2008818,2028760064,09/08/2015,10/16/2011,Mercantile,40.8466613,-73.9203349,1929.0,1920 to 1939 (Pre-war late),1
Rescinded,07/13/2001,BX,"824 EAST 169 STREET, BX",203.0,17.0,2005071,2026820029,02/01/2012,03/23/2012,Residential,40.829396,-73.8980966,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,07/23/2001,BK,"296 GREENE AVENUE, BK",303.0,35.0,3056290,3019670015,12/12/2011,10/29/2002,Residential,40.687267,-73.9589953,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,10/01/2001,BK,"177 CHESTNUT STREET, BK",305.0,37.0,3092170,3041280112,02/22/2012,03/02/2012,Residential,40.6836797,-73.8752905,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,03/11/2002,BX,"14-16 WEST 183 STREET, BX",205.0,14.0,2014220,2031960077,08/31/2015,05/28/2015,Mercantile,40.8583775,-73.9046569,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,12/05/2002,BX,"115 EAST 179 STREET, BX",205.0,14.0,2007674,2028070084,07/27/2015,,Residential,40.8517256,-73.9061702,1899.0,Pre 1900,1
Rescinded,01/09/2004,BX,"289 ALEXANDER AVENUE, BX",201.0,8.0,2000716,2023140072,05/15/2012,05/18/2012,Residential,40.8111696,-73.9246799,1882.0,Pre 1900,1
Dismissal,08/27/2004,BX,"412 EAST 139 STREET, BX",201.0,8.0,2000265,2022830015,10/06/2015,10/02/2015,Residential,40.8094167,-73.9219979,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,02/21/2005,BX,"1538 COMMONWLTH AVENUE, BX ;1538 COMMONWEALTH AVENUE, BX",209.0,18.0,2028559,2039180018,02/05/2013,03/09/2013,Residential,40.839135,-73.8689059,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,04/05/2005,BX,"3210 HULL AVENUE, BX",207.0,11.0,2018437,2033500009,07/05/2013,,Residential,40.874275,-73.8759925,0.0,Pre 1900,1
